id,title,hashtags,view_count,duration,channel,channel_id,description,description_links,created_at,like_count,dislike_count,subscriber_count,hours ago posted,total_interactions,video_url
dWAyFVtRwTfz,Allungamento Muscolare della Schiena Anche e dei Glutei,"#Esercizi,#Glutei,#Anche",18,0:34,GDFlashFit,gdflashfit,"In questo breve video mostro alcuni esercizi adatti ad allungare i muscoli della schiena, delle anche e dei glutei

",[],5 hours ago,0,0,0,5.0,18,https://api.bitchute.com/video/dWAyFVtRwTfz
Dbv6h44z6LM,Unconventional Strength with the Kettlebell Rear Press,No Hashtags,18,8:24,Cavemantraining,cavemantraining,"Create unconventional shoulder strength with the kettlebell rear press.


Access the world's kettlebell exercises on one website, the Kettlebell Exercise Encyclopedia for videos, workouts, courses, common mistakes, and so much more


 ✅ Create a free account and record your scoring <https://kettlebellexercises.fitness>  
✅ 200 follow-along kettlebell workouts <https://go.cavemantraining.com/cic>  
✅ Kettlebell books, courses, workouts <https://www.cavemantraining.com/shop>  
✅ Our kettlebell workout books on Amazon <https://amzn.to/2qePzfv>  
✅ Join the Cavemantraining™ community <https://go.cavemantraining.com/social>  
✅ SUBSCRIBE to our newsletter <https://newsletter.cavemantraining.com/>  
✅ Get notifications about the best workouts [http://www.youtube.com/Cavemantraining?sub\_confirmation=1](https://www.youtube.com/Cavemantraining?sub_confirmation=1)  
👇 Post feedback, ask questions, please like and share. 🙏

","['https://kettlebellexercises.fitness', 'https://go.cavemantraining.com/cic', 'https://www.cavemantraining.com/shop', 'https://amzn.to/2qePzfv', 'https://go.cavemantraining.com/social', 'https://newsletter.cavemantraining.com/', 'https://www.youtube.com/Cavemantraining?sub_confirmation=1']",2 hours ago,0,0,35,2.0,18,https://api.bitchute.com/video/Dbv6h44z6LM
apWG3NOCdfo,Больше прогнозов и ставочного контента в нашем телеграм-канале. Ссылка в шапке профиля.,No Hashtags,16,0:14,BetONmobile,betonmobile,No Description,[],13 hours ago,0,0,2,13.0,16,https://api.bitchute.com/video/apWG3NOCdfo
CXA0LB_UdzI,ANSU FATI a DEBATE: su futuro ¿LEJOS del BARÇA?,No Hashtags,16,3:59,PlanetaDeporte,planetadeporte,"Ansu Fati tiene muy difícil continuar en el Barça. El área deportiva del club ya ha advertido al entorno del jugador que se preparen para buscarle una salida durante este verano, ya que podría no estar en los planes del nuevo proyecto deportivo. Aunque Ansu formará parte de la gira por Estados Unidos, su continuidad en el club es poco probable. El Barça busca, al menos, ahorrarse el salario del jugador, aunque estaría dispuesto a aceptar una buena oferta de traspaso, algo que se ve improbable tras su última cesión en el Brighton, donde tuvo problemas físicos.


El canterano blaugrana ha sido convocado para iniciar la pretemporada por expreso deseo de Hansi Flick. El técnico alemán quiere evaluarlo personalmente para tomar una decisión definitiva y será muy claro con el futbolista: si no lo considera apto para tener minutos durante la temporada, se le comunicará para que tenga el mayor tiempo posible para decidir su futuro. Ansu es consciente de lo que está en juego y se está preparando para ello, al igual que su agente, Jorge Mendes, quien ya maneja algunas opciones de cesión para el delantero.


SUSCRIBETE EN NUESTRO CANAL!


Síguenos en:  
- Patreon: <https://www.patreon.com/Planeta_Deporte>  
- Instagram: @byMonteRey  
- Twitch: <https://www.twitch.tv/planetadeporte365>  
- Rumble: <https://rumble.com/user/PlanetaDeporte>  
- Ibry: <https://lbry.tv/@PlanetaDeporte:a>  
- Web site: <http://planetadeporte.es>  
- Facebook: <https://www.facebook.com/PlanetaDeporte.Net?fref=ts>  
- Twitter: <https://twitter.com/Planeta_deporte>  
- Planeta Deporte Radio: <http://www.ivoox.com/escuchar-planeta-deporte-radio_nq_15607_1.html>

","['https://www.patreon.com/Planeta_Deporte', 'https://www.twitch.tv/planetadeporte365', 'https://rumble.com/user/PlanetaDeporte', 'https://lbry.tv/@PlanetaDeporte:a', 'http://planetadeporte.es', 'https://www.facebook.com/PlanetaDeporte.Net?fref=ts', 'https://twitter.com/Planeta_deporte', 'http://www.ivoox.com/escuchar-planeta-deporte-radio_nq_15607_1.html']",4 hours ago,0,0,2,4.0,16,https://api.bitchute.com/video/CXA0LB_UdzI
Ab_lgZCDATQ,Paul Schmitt Made Over 19 Million Boards In His Lifetime!!!!?,No Hashtags,9,0:38,Nine Club Fans,nineclubfans,"Subscribe to The Nine Club


#PaulSchmitt #Skateboarding #TheNineClub

",[],15 hours ago,0,0,4,15.0,9,https://api.bitchute.com/video/Ab_lgZCDATQ
aIfQmsTqDBSt,1997 European Figure Skating Championships | Kulik & Zagorodniuk - Men's Short Program (B.ESP),No Hashtags,2,8:09,Gliding Grace,adaneth_sport,"The 1997 European Figure Skating Championships was a senior-level international competition held in Paris, France, from January 21 – 25.


1. Ilika Kulik (RUS)  
Short Program: ""Faust"" Fantasy by Henryk Wieniawski  
2. Vyacheslav Zahorodnyuk (UKR)  
Short Program: ""A Modern Tango""

",[],3 minutes ago,0,0,83,0.05,2,https://api.bitchute.com/video/aIfQmsTqDBSt
8QneJkj23YI5,Equestrianism without the horse,"#horse,#jumping,#Equestrianism",2018,0:19,Voat,voat,"Monty Python did this in the Holy Grail, what's missing is a person running behind her with two coconut shells.

",[],"3 days, 10 hours ago",26,20,23244,82.0,2064,https://api.bitchute.com/video/8QneJkj23YI5
SbLz0vPMAD0,Total Lower Body Stretch 🔥Ashley’s Lower Body Stretch Routine 💥Boost Your Flexibility,No Hashtags,556,20:58,PsycheTruth,psychetruth,"Join us on Yoga Plus and enjoy a 14-Day Trial FREE. Visit us at: <https://wellnessplus.tv/yogaplus>   
Total Lower Body Stretch 🔥Ashley’s Lower Body Stretch Routine 💥Boost Your Flexibility


Welcome to Ashley's ultimate lower body stretch routine! In this video, we'll cover everything from your toes to your hips, perfect for anyone needing relief from foot pain or tight muscles. No equipment is needed, so join us whenever you can!


Foot Stretches: Starting with pedaling through the feet, stretching the Achilles, and tops of the feet.  
Calf Stretches: Basic calf stretches with additional Achilles stretches.  
Hamstring Stretches: Downward dog and other effective techniques to loosen up tight hamstrings.  
Quad Stretches: Multiple methods to stretch and relieve tension in the quads.  
Hip Flexor Stretches: Deep stretches for the hip flexors, ideal for those who sit or drive a lot.


If you enjoyed this video, don't forget to like, comment, and subscribe for more! Check out our Yoga Plus app for exclusive content and more stretching routines.

",['https://wellnessplus.tv/yogaplus'],"1 day, 7 hours ago",6,0,465,31.0,562,https://api.bitchute.com/video/SbLz0vPMAD0
jfRrHBpbAXBD,The most bizarre goal in football. Glitch in Matrix,"#interesting,#football,#soccer",397,1:20,Jjack,jjack,No Description,[],"1 day, 7 hours ago",14,0,4176,31.0,411,https://api.bitchute.com/video/jfRrHBpbAXBD
AOY1jTs6mnAZ,Muscular Female Wrestler Takes on 2 Male Opponents,"#mixed,#wrestling,#grappling",328,15:14,Mixed Wrestling Videos,mixedwrestling,"This wrestler easily takes care of the first guy she wrestles but then takes on two at a time. This is a must see.

",[],"2 days, 19 hours ago",1,3,59,67.0,332,https://api.bitchute.com/video/AOY1jTs6mnAZ
1XRttWg6_1s,When You Underestimate The 55-Year-Old Bodybuilder Uncle,No Hashtags,318,3:24,Fight Commentary Breakdowns,fightcommentaryjerryliu,"We have a great match from Streetbeefs. In this match, 55-year-old bodybuilder Moe 40 takes on kickboxer Mike. Let's watch and see what happens! There is not just an age difference but also a reach difference in this match!


Original match that this commentary covered:  
<https://www.youtube.com/watch?v=D1jCwkcE8zI>


Join this channel to get access to perks:  
<https://www.youtube.com/channel/UCAzXqFoW1Y7KDqwZ1x5m9EA/join>


#fight #commentary #breakdowns #martialarts 


Timecodes:  
0:00 Match starts  
0:12 First knockdown  
0:51 Second exchange  
1:50 Kickboxer gets focused  
2:22 Match called off  
2:36 Bushism  
2:56 Fun question for viewers  
3:15 New data we aim to exceed

","['https://www.youtube.com/watch?v=D1jCwkcE8zI', 'https://www.youtube.com/channel/UCAzXqFoW1Y7KDqwZ1x5m9EA/join']","4 days, 17 hours ago",3,0,284,113.0,321,https://api.bitchute.com/video/1XRttWg6_1s
45P6BqaTsMTi,⏏ FAFO COMMENTSECTIONFAGS EJECT ⏏,"#fafo,#COMMENTSECTIONFAGS,#eject",284,0:05,Vincent Fusco Q,vincentfusco,"💥💤⬆ Samoan kid saves white boy and drops a bomb on black thug 💥💤⬆ <https://old.bitchute.com/video/yerwLniiuqlU/>  
HURT <https://old.bitchute.com/video/Cbbe536IaTxF/>


BREAKING: Large sun-like UFOs spotted in Canada <https://old.bitchute.com/video/QvLIAnIuMnVL/>  
🛸 THIS IS A PARTIALLY CLOUD CLOAKED PLEIADIAN MOTHERSHIP 🛸  
<https://old.bitchute.com/video/63oet17xnJDF/>  
FUTURE PROVES THAT PAST Q 6-26-22 🐸 #DDK  
<https://old.bitchute.com/video/DLnOsrsKhXXt/>  
🍿 PRESIDENT TRUMP AND RESIDENT JOE BIDEN - DEBATE PART 1 - THE IDEA 🍿  
<https://old.bitchute.com/video/ftxjyA71zKAc/>  
🍿 PRESIDENT TRUMP AND RESIDENT JOE BIDEN - DEBATE PART 2 - BY THE WAY 🍿  
<https://old.bitchute.com/video/oxiALovrGch9/>  
DRACONIANAS <https://old.bitchute.com/video/1euC1Qii5gxp/>  
WILL THEY EVER TELL US,ABOUT THE D.U.M.BS  
<https://old.bitchute.com/video/9N4x2NBCbeBu/1>  
1.11.21 - DRONE FOOTAGE OF EPSTEIN (ISLAND)  
<https://old.bitchute.com/video/IEf9NG2PT7qE/>

","['https://old.bitchute.com/video/yerwLniiuqlU/', 'https://old.bitchute.com/video/Cbbe536IaTxF/', 'https://old.bitchute.com/video/QvLIAnIuMnVL/', 'https://old.bitchute.com/video/63oet17xnJDF/', 'https://old.bitchute.com/video/DLnOsrsKhXXt/', 'https://old.bitchute.com/video/ftxjyA71zKAc/', 'https://old.bitchute.com/video/oxiALovrGch9/', 'https://old.bitchute.com/video/1euC1Qii5gxp/', 'https://old.bitchute.com/video/9N4x2NBCbeBu/1', 'https://old.bitchute.com/video/IEf9NG2PT7qE/']","4 days, 8 hours ago",7,2,3943,104.0,293,https://api.bitchute.com/video/45P6BqaTsMTi
HVVQ1KKdJAyP,"Richard D Hall in “The Light,” Royals & Normalisation, Bigfoot & the Ethereans, David Icke's Ex","#andrew,#johnson,#richplanet",275,28:37,ImportantInformation1,importantinformation1,"Update from Andrew Johnson from [checktheevidence.com](http://checktheevidence.com)


<https://thelightpaper.co.uk/assets/pdf/The-Light-46-Jun-24-Web-Final.pdf>


<https://www.richplanet.net/legal.php>


<https://www.richplanet.net/richp_genre.php?ref=231&part=1&gen=10>


<https://www.youtube.com/watch?v=6GmSjm5dCJw>


<https://dhughes.substack.com/t/full-book>


<https://miri.substack.com/p/king-charles-does-not-have-cancer>


<https://robdubya.substack.com/p/poem-ghosts-in-the-flight>


<https://www.checktheevidence.com/wordpress/2024/06/27/helping-people-understand-where-the-towers-went/>


<https://www.youtube.com/watch?v=9KLJXNwA-tw&ab_channel=AFlashOfBeauty%3ABigfootRevealed>


<https://www.facebook.com/permalink.php?story_fbid=pfbid02iMjwN6Aexg2Vot1pv9f7d4wRJhnxFTbKj3KkxkTuik4Qb2KqYpq2x8n5u7Gaa3Sbl&id=890945646>


<https://www.youtube.com/watch?v=cj8ZCU7qC-0&t=2823s&ab_channel=AFlashOfBeauty%3ABigfootRevealed>


<https://www.youtube.com/watch?v=dfY7U07cph8>


<https://thedebrief.org/nasa-veterans-propellantless-propulsion-drive-that-physics-says-shouldnt-work-just-produced-enough-thrust-to-defeat-earths-gravity/>


<https://www.checktheevidence.com/wordpress/2018/05/31/book-finding-the-secret-space-programme/>


...  
<https://www.youtube.com/watch?v=SonBLXzPNnQ>

","['http://checktheevidence.com', 'https://thelightpaper.co.uk/assets/pdf/The-Light-46-Jun-24-Web-Final.pdf', 'https://www.richplanet.net/legal.php', 'https://www.richplanet.net/richp_genre.php?ref=231&part=1&gen=10', 'https://www.youtube.com/watch?v=6GmSjm5dCJw', 'https://dhughes.substack.com/t/full-book', 'https://miri.substack.com/p/king-charles-does-not-have-cancer', 'https://robdubya.substack.com/p/poem-ghosts-in-the-flight', 'https://www.checktheevidence.com/wordpress/2024/06/27/helping-people-understand-where-the-towers-went/', 'https://www.youtube.com/watch?v=9KLJXNwA-tw&ab_channel=AFlashOfBeauty%3ABigfootRevealed', 'https://www.facebook.com/permalink.php?story_fbid=pfbid02iMjwN6Aexg2Vot1pv9f7d4wRJhnxFTbKj3KkxkTuik4Qb2KqYpq2x8n5u7Gaa3Sbl&id=890945646', 'https://www.youtube.com/watch?v=cj8ZCU7qC-0&t=2823s&ab_channel=AFlashOfBeauty%3ABigfootRevealed', 'https://www.youtube.com/watch?v=dfY7U07cph8', 'https://thedebrief.org/nasa-veterans-propellantless-propulsion-drive-that-physics-says-shouldnt-work-just-produced-enough-thrust-to-defeat-earths-gravity/', 'https://www.checktheevidence.com/wordpress/2018/05/31/book-finding-the-secret-space-programme/', 'https://www.youtube.com/watch?v=SonBLXzPNnQ']","5 days, 23 hours ago",6,0,787,143.0,281,https://api.bitchute.com/video/HVVQ1KKdJAyP
q1hjWNsGRFs6,SHOCKING! Chinese Badminton Player COLLAPSING! DIES SUDDENLY of CARDIAC ARREST in Match!,No Hashtags,238,8:52,Wade-X,wade-x,"Black & White Sports: Chinese badminton player COLLAPSING! DIES SUDDENLY of CARDIAC ARREST in match! The Video Event and the Aftermath. Questions Asked; ""How much longer before People wake up? Athletes are still Dropping Like Flies with Heart Issues! It's becoming too obvious to ignore any longer.""

",[],"1 day, 1 hour ago",6,0,1949,25.0,244,https://api.bitchute.com/video/q1hjWNsGRFs6
nTDIpbSsctWS,BUT I get up again,"#jesus,#tribulation,#church",226,3:22,Non-Anonymous Charity,non-anonymous-charity,"Proverbs 24:16 For the righteous falls seven times and rises again, but the wicked stumble in times of calamity.  
.  
Micah 7:8 Rejoice not over me, O my enemy; when I fall, I shall rise; when I sit in darkness, the Lord will be a light to me.   
.  
Non-Anonymous Charity (channels)  
.  
<https://rumble.com/user/NonAnonymousCharity>  
<https://archive.org/details/@non-anonymous_charity>  
<https://www.bitchute.com/non-anonymous-charity/>  
.  
(sub-channels on rumble)  
<https://rumble.com/NonAnonymousCharity>  
<https://rumble.com/ForTheTribulationSaints>  
<https://rumble.com/PrepareForTheApocalypse>  
.  
telegram  
.  
t.me/nonanonymouscharity  
t.me/forthetribulationsaints  
t.me/preparefortheapocalypse  
.  
HS inspired worship videos and Scripture/Messages  
.  
The Revelation of Jesus Christ \*\*fully animated\*\* (James Earl Jones narration KJV)  
<https://rumble.com/v274510-the-revelation-of-jesus-christ-fully-animated-james-earl-jones-narration-kj.html>  
Tribulation Tracks - (life-changing songs in END TIMES) Serj Tankian, Chris Cornell, Daron Malakian - Album  
<https://rumble.com/v2dtjtu-tribulation-tracks-life-changing-songs-in-end-times-serj-tankian-chris-corn.html>  
666 Songs - (End Times Music Album)  
<https://rumble.com/v2nb5gg-666-songs.html>  
Last Call - (End Times Music Album)  
<https://rumble.com/v2uh3es-last-call-non-anonymous-charity.html>  
 Old to New, Waiting for YOU - Col 3:1-4 (End Times Music Album)   
<https://rumble.com/v3udhqg-old-to-new-waiting-for-you-col-31-4-end-times-music-album.html>  
Jesus Christ's/Tribulation Saint's victory over satan/antichrist explained through movies  
<https://rumble.com/v2brmy4-jesus-christstribulation-saints-victory-over-satanantichrist-explained-thro.html>  
The Most Powerful Hell Fire Sermon - Pastor Charles Lawson  
<https://rumble.com/v2dlxw8-the-most-powerful-hell-fire-sermon-pastor-charles-lawson.html>  
.  
.  
MP3 format - zip collection downloads of this content available here  
.  
audio - For the Tribulation Saints MP3 songs only, 54 songs total (entire collection of Tribulation themed worship songs from channel)  
<https://archive.org/details/forthetribulationsaintsmp-3songs>  
audio - Who Is The Antichrist 8 Part Series Complete MP 3 Only ( Non Anonymous Charity)  
<https://archive.org/details/who-is-the-antichrist-8-part-series-complete-mp-3-only-non-anonymous-charity>

","['https://rumble.com/user/NonAnonymousCharity', 'https://archive.org/details/@non-anonymous_charity', 'https://www.bitchute.com/non-anonymous-charity/', 'https://rumble.com/NonAnonymousCharity', 'https://rumble.com/ForTheTribulationSaints', 'https://rumble.com/PrepareForTheApocalypse', 'https://rumble.com/v274510-the-revelation-of-jesus-christ-fully-animated-james-earl-jones-narration-kj.html', 'https://rumble.com/v2dtjtu-tribulation-tracks-life-changing-songs-in-end-times-serj-tankian-chris-corn.html', 'https://rumble.com/v2nb5gg-666-songs.html', 'https://rumble.com/v2uh3es-last-call-non-anonymous-charity.html', 'https://rumble.com/v3udhqg-old-to-new-waiting-for-you-col-31-4-end-times-music-album.html', 'https://rumble.com/v2brmy4-jesus-christstribulation-saints-victory-over-satanantichrist-explained-thro.html', 'https://rumble.com/v2dlxw8-the-most-powerful-hell-fire-sermon-pastor-charles-lawson.html', 'https://archive.org/details/forthetribulationsaintsmp-3songs', 'https://archive.org/details/who-is-the-antichrist-8-part-series-complete-mp-3-only-non-anonymous-charity']","4 days, 5 hours ago",0,1,207,101.0,227,https://api.bitchute.com/video/nTDIpbSsctWS
CGJ0X5ieMDTm,"Creedence Clearwater Revival - ""Born On The Bayou""- E-bike ride - R.I. Bikeway","#sports,#fitness,#music",150,5:47,Earth1wood,earth1wood,"I'm taking a E-bike ride on the R.I. Bikeway - Music Video

",[],"3 days, 23 hours ago",2,0,7,95.0,152,https://api.bitchute.com/video/CGJ0X5ieMDTm
BrDlNMteIAh0,Last Post and Chorus,"#globohomo,#prisonplanet,#clownworld",133,4:34,Landofmisfittoys,landofmisfittoys,"I’m done. See y’all in the funny papers. 

",[],"2 days, 5 hours ago",26,3,652,53.0,162,https://api.bitchute.com/video/BrDlNMteIAh0
YRs8i5cIWqhD,Andrew Tate on How The Rich Forever Profit,No Hashtags,120,11:16,Andrew Tate,andrewtate,"Information is power. If you know first? Making money is easy. You win. [www.thewarroom.ag](http://www.thewarroom.ag)

",['http://www.thewarroom.ag'],"4 days, 9 hours ago",4,1,1130,105.0,125,https://api.bitchute.com/video/YRs8i5cIWqhD
QZVaemENm6RJ,Using Chin Na I'm Chi Sao,"#wingchun,#chin,#na",113,3:33,MCM_WINGCHUN,mcm_wingchun,"I show how to use common chin na which can be applied in your chi sao training... I us wrist elbow and shoulder Chin Na..

",[],"6 days, 7 hours ago",2,0,93,151.0,115,https://api.bitchute.com/video/QZVaemENm6RJ
